> print(mu) # mean prediction
  [1,] -32.096415
  [2,] -30.076019
  [3,] -27.956420
  [4,] -25.737620
  [5,] -23.419618
  [6,] -21.002414
  [7,] -18.486008
  [8,] -15.870400
  [9,] -13.155590
 [10,] -10.341579
 [11,]  -7.428366
 [12,]  -4.415951
 [13,]  -1.304334
 [14,]   1.906484
 [15,]   5.216505
 [16,]   8.625727
 [17,]  12.134151
 [18,]  15.741777
 [19,]  19.448605
 [20,]  23.254635
 [21,]  27.159866
 [22,]  31.164299
 [23,]  35.267935
 [24,]  39.470771
 [25,]  43.772810
 [26,]  48.174051
 [27,]  52.674493
 [28,]  57.274137
 [29,]  61.972983
 [30,]  66.771031
 [31,]  71.668281
 [32,]  76.664733
 [33,]  81.760386
 [34,]  86.955241
 [35,]  92.249298
 [36,]  97.642557
 [37,] 103.135018
 [38,] 108.726680
 [39,] 114.417544
 [40,] 120.207611
 [41,] 126.096878
 [42,] 132.085348
 [43,] 138.173020
 [44,] 144.359893
 [45,] 150.645969
 [46,] 157.031246
 [47,] 163.515725
 [48,] 170.099405
 [49,] 176.782288
 [50,] 183.564372
 [51,] 190.445659
 [52,] 197.426147
 [53,] 204.505837
 [54,] 211.684728
 [55,] 218.962822
 [56,] 226.340117
 [57,] 233.816614
 [58,] 241.392313
 [59,] 249.067214
 [60,] 256.841317
 [61,] 264.714622
 [62,] 272.687128
 [63,] 280.758836
 [64,] 288.929746
 [65,] 297.199858
 [66,] 305.569171
 [67,] 314.037687
 [68,] 322.605404
 [69,] 331.272323
 [70,] 340.038444
 [71,] 348.903767
 [72,] 357.868292
 [73,] 366.932018
 [74,] 376.094946
 [75,] 385.357076
 [76,] 394.718408
 [77,] 404.178942
 [78,] 413.738678
 [79,] 423.397615
 [80,] 433.155754
 [81,] 443.013095
 [82,] 452.969638
 [83,] 463.025383
 [84,] 473.180329
 [85,] 483.434478
 [86,] 493.787828
 [87,] 504.240380
 [88,] 514.792134
 [89,] 525.443089
 [90,] 536.193247
 [91,] 547.042606
 [92,] 557.991167
 [93,] 569.038930
 [94,] 580.185895
 [95,] 591.432062
 [96,] 602.777430
 [97,] 614.222000
 [98,] 625.765773
 [99,] 637.408746
[100,] 649.150922
[101,] 660.992300
[102,] 672.932879
[103,] 684.972660
[104,] 697.111643
[105,] 709.349828
[106,] 721.687215
[107,] 734.123804
[108,] 746.659594
> print(lo)
  [1,] -42.359717
  [2,] -39.693269
  [3,] -36.895898
  [4,] -33.967603
  [5,] -30.908385
  [6,] -27.718245
  [7,] -24.397181
  [8,] -20.945194
  [9,] -17.362284
 [10,] -13.648452
 [11,]  -9.803695
 [12,]  -5.828016
 [13,]  -1.721414
 [14,]   2.516111
 [15,]   6.884559
 [16,]  11.383931
 [17,]  16.014225
 [18,]  20.775443
 [19,]  25.667583
 [20,]  30.690647
 [21,]  35.844634
 [22,]  41.129544
 [23,]  46.545376
 [24,]  52.092132
 [25,]  57.769811
 [26,]  63.578414
 [27,]  69.517939
 [28,]  75.588387
 [29,]  81.789758
 [30,]  88.122053
 [31,]  94.585270
 [32,] 101.179411
 [33,] 107.904474
 [34,] 114.760461
 [35,] 121.747371
 [36,] 128.865204
 [37,] 136.113960
 [38,] 143.493639
 [39,] 151.004241
 [40,] 158.645766
 [41,] 166.418214
 [42,] 174.321585
 [43,] 182.355880
 [44,] 190.521097
 [45,] 198.817238
 [46,] 207.244301
 [47,] 215.802288
 [48,] 224.491198
 [49,] 233.311030
 [50,] 242.261786
 [51,] 251.343465
 [52,] 260.556067
 [53,] 269.899592
 [54,] 279.374040
 [55,] 288.979412
 [56,] 298.715706
 [57,] 308.582923
 [58,] 318.581064
 [59,] 328.710127
 [60,] 338.970114
 [61,] 349.361024
 [62,] 359.882856
 [63,] 370.535612
 [64,] 381.319291
 [65,] 392.233893
 [66,] 403.279418
 [67,] 414.455866
 [68,] 425.763237
 [69,] 437.201532
 [70,] 448.770749
 [71,] 460.470889
 [72,] 472.301953
 [73,] 484.263939
 [74,] 496.356849
 [75,] 508.580682
 [76,] 520.935437
 [77,] 533.421116
 [78,] 546.037718
 [79,] 558.785243
 [80,] 571.663691
 [81,] 584.673062
 [82,] 597.813357
 [83,] 611.084574
 [84,] 624.486714
 [85,] 638.019778
 [86,] 651.683764
 [87,] 665.478674
 [88,] 679.404506
 [89,] 693.461262
 [90,] 707.648941
 [91,] 721.967543
 [92,] 736.417068
 [93,] 750.997516
 [94,] 765.708887
 [95,] 780.551181
 [96,] 795.524398
 [97,] 810.628539
 [98,] 825.863602
 [99,] 841.229588
[100,] 856.726498
[101,] 872.354330
[102,] 888.113086
[103,] 904.002765
[104,] 920.023367
[105,] 936.174892
[106,] 952.457340
[107,] 968.870711
[108,] 985.415005
> print(up)
  [1,] -21.8331135
  [2,] -20.4587684
  [3,] -19.0169427
  [4,] -17.5076365
  [5,] -15.9308497
  [6,] -14.2865822
  [7,] -12.5748343
  [8,] -10.7956057
  [9,]  -8.9488965
 [10,]  -7.0347068
 [11,]  -5.0530365
 [12,]  -3.0038856
 [13,]  -0.8872541
 [14,]   1.2968580
 [15,]   3.5484506
 [16,]   5.8675238
 [17,]   8.2540776
 [18,]  10.7081120
 [19,]  13.2296270
 [20,]  15.8186225
 [21,]  18.4750986
 [22,]  21.1990553
 [23,]  23.9904926
 [24,]  26.8494105
 [25,]  29.7758089
 [26,]  32.7696879
 [27,]  35.8310476
